,full_name,surname,far_right,years,country_name,epg_code,epg_names,national_party_id,national_party_name,national_party_family
0,ADAM Gordon J.,adam,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
1,AELVOET Magda G.H.,aelvoet,0,1994-1999,Belgium,V,"['Green Group', 'Greens/European Free Alliance']",1101,"Anders gaan arbeiden, leven en vrijen",Grn
2,AGLIETTA Maria Adelaide,aglietta,0,1994-1999,Italy,V,"['Green Group', 'Greens/European Free Alliance']",1609,Verdi Arcobaleno / Federazione dei Verdi / Verdi Europa,Grn
3,AHERN Nuala,ahern,0,1994-1999,Ireland,V,"['Green Group', 'Greens/European Free Alliance']",2203,Green Party,Grn
4,AHLQVIST Birgitta,ahlqvist,0,1994-1999,Sweden,S,"['Socialist Group', 'Party of European Socialists']",2306,Socialdemokratiska arbetarepartiet,Soc
5,AINARDI Sylviane H.,ainardi,0,1994-1999,France,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1409,Parti communiste française / Gauche unitaire / Parti communiste réunionnais,Left
6,ALAVANOS Alexandros,alavanos,0,1994-1999,Greece,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1507,Synaspismos tis Aristeras kai tis Proodou / Neo Aristero Revma,Left
7,ALBER Siegbert,alber,0,1994-1999,Germany,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1201,Christlich Demokratische Union,CDem
8,ALDO Blaise,aldo,1,1994-1999,France,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1404,Rassemblement pour la République / Défence des intérêts de la France en Europe,Con
9,AMADEO Amedeo,amadeo,1,1994-1999,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1601,Movimento soziale italiano / Alleanza nazionale,Right
10,ANASTASSOPOULOS Georgios,anastassopoulos,0,1994-1999,Greece,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1505,Nea Dimokratia,Con
11,ANCONA Hedy d',ancona,0,1994-1999,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
12,ANDERSSON Axel,andersson,0,1994-1999,Sweden,S,"['Socialist Group', 'Party of European Socialists']",2306,Socialdemokratiska arbetarepartiet,Soc
13,ANDERSSON Jan,andersson,0,1994-1999,Sweden,S,"['Socialist Group', 'Party of European Socialists']",2306,Socialdemokratiska arbetarepartiet,Soc
14,ANDRÉ-LÉONARD Anne,andré-léonard,0,1994-1999,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1107,Parti réformateur libéral,Lib
15,ANDREWS Niall,andrews,1,1994-1999,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
16,ANGELILLI Roberta,angelilli,1,1994-1999,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1601,Movimento soziale italiano / Alleanza nazionale,Right
17,AÑOVEROS TRIAS de BES Julio,añoveros,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
18,ANTONY Bernard,antony,1,1994-1999,France,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1406,Front national,Right
19,ANTTILA Sirkka-Liisa,anttila,0,1994-1999,Finland,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2001,Soumen Keskusta,Lib
20,APARICIO SÁNCHEZ Pedro,aparicio,0,1994-1999,Spain,S,"['Socialist Group', 'Party of European Socialists']",1314,Partido Socialista Obrero Español,Soc
21,APOLINÁRIO José,apolinário,0,1994-1999,Portugal,S,"['Socialist Group', 'Party of European Socialists']",2105,Partido Socialista,Soc
22,ARAMBURU DEL RÍO María Jesús,aramburu,0,1994-1999,Spain,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1311,Izquierda Unida / Izquierda Unida-Iniciativa per Catalunya,Left
23,AREITIO TOLEDO Javier,areitio,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
24,ARGYROS Stelios,argyros,0,1994-1999,Greece,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1505,Nea Dimokratia,Con
25,ARIAS CAÑETE Miguel,arias,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
26,ARRONI Aldo,arroni,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
